season,hour,shift_name,attending_shifts,capacity_pph
winter,20,Day (7:30a-4p),0.0,2.5
winter,20,Flex (11:30a-8p),0.5,2.5
winter,20,Evening (3:30p-12a),1,2.5
winter,20,Swing (5p-1:30a),1,2.5
winter,20,Night (11:30p-8a),0.0,2.5
winter,20,TOTAL,2.5,6.25
winter,21,Day (7:30a-4p),0.0,2.5
winter,21,Flex (11:30a-8p),0.0,2.5
winter,21,Evening (3:30p-12a),1,2.5
winter,21,Swing (5p-1:30a),1,2.5
winter,21,Night (11:30p-8a),0.0,2.5
winter,21,TOTAL,2,5
winter,22,Day (7:30a-4p),0.0,2.5
winter,22,Flex (11:30a-8p),0.0,2.5
winter,22,Evening (3:30p-12a),1,2.5
winter,22,Swing (5p-1:30a),1,2.5
winter,22,Night (11:30p-8a),0.0,2.5
winter,22,TOTAL,2,5
winter,23,Day (7:30a-4p),0.0,2.5
winter,23,Flex (11:30a-8p),0.0,2.5
winter,23,Evening (3:30p-12a),0.5,2.5
winter,23,Swing (5p-1:30a),1,2.5
winter,23,Night (11:30p-8a),0.0,2.5
winter,23,TOTAL,1.5,3.75
