category,metric,hour,value
wr,stdev,5,1.765455
wr,stdev,6,1.702508
wr,stdev,7,1.936379
wr,stdev,8,2.758367
wr,stdev,9,4.026637
wr,stdev,10,4.41053
wr,stdev,11,4.584429
wr,stdev,12,4.670823
wr,stdev,13,4.770358
wr,stdev,14,4.971981
wr,stdev,15,4.973693
wr,stdev,16,5.085213
wr,stdev,17,5.03438
wr,stdev,18,5.032928
wr,stdev,19,5.38989
wr,stdev,20,4.834468
wr,stdev,21,4.479803
wr,stdev,22,4.358522
wr,stdev,23,4.153143
boarding,mean,0,1.5
boarding,mean,1,1.502857
boarding,mean,2,1.505714
boarding,mean,3,1.514286
boarding,mean,4,1.52
boarding,mean,5,1.525714
boarding,mean,6,1.531429
boarding,mean,7,1.557143
boarding,mean,8,1.565714
boarding,mean,9,1.58
boarding,mean,10,1.482857
boarding,mean,11,1.411429
boarding,mean,12,1.305714
boarding,mean,13,1.185714
boarding,mean,14,1.202857
boarding,mean,15,1.208571
boarding,mean,16,1.157143
boarding,mean,17,1.12
boarding,mean,18,1.131429
boarding,mean,19,1.182857
boarding,mean,20,1.262857
boarding,mean,21,1.357143
boarding,mean,22,1.417143
boarding,mean,23,1.471429
boarding,median,0,1
boarding,median,1,1
boarding,median,2,1
boarding,median,3,1
boarding,median,4,1
boarding,median,5,1
boarding,median,6,1
boarding,median,7,1
boarding,median,8,1
boarding,median,9,1
boarding,median,10,1
boarding,median,11,1
boarding,median,12,1
boarding,median,13,1
boarding,median,14,1
boarding,median,15,1
boarding,median,16,1
boarding,median,17,1
boarding,median,18,1
boarding,median,19,1
boarding,median,20,1
boarding,median,21,1
boarding,median,22,1
boarding,median,23,1
boarding,p25,0,0.25
boarding,p25,1,0.25
boarding,p25,2,0
boarding,p25,3,0.25
boarding,p25,4,0
boarding,p25,5,0
boarding,p25,6,0.25
boarding,p25,7,1
boarding,p25,8,1
boarding,p25,9,1
boarding,p25,10,0
boarding,p25,11,0
boarding,p25,12,0
boarding,p25,13,0
boarding,p25,14,0
boarding,p25,15,0
boarding,p25,16,0
boarding,p25,17,0
boarding,p25,18,0
boarding,p25,19,0
boarding,p25,20,0
boarding,p25,21,0
boarding,p25,22,0
boarding,p25,23,0.25
boarding,p75,0,2
boarding,p75,1,2
boarding,p75,2,2
boarding,p75,3,2
boarding,p75,4,2
boarding,p75,5,2
boarding,p75,6,2
boarding,p75,7,2
boarding,p75,8,2
boarding,p75,9,2
boarding,p75,10,2
boarding,p75,11,2
boarding,p75,12,2
boarding,p75,13,2
boarding,p75,14,2
boarding,p75,15,2
boarding,p75,16,2
boarding,p75,17,2
boarding,p75,18,2
boarding,p75,19,2
boarding,p75,20,2
boarding,p75,21,2
boarding,p75,22,2
boarding,p75,23,2
boarding,p95,0,4
boarding,p95,1,4
boarding,p95,2,4
boarding,p95,3,4
boarding,p95,4,4
boarding,p95,5,4
boarding,p95,6,4
boarding,p95,7,4
boarding,p95,8,4
boarding,p95,9,4
boarding,p95,10,4
boarding,p95,11,4
boarding,p95,12,3
boarding,p95,13,3
boarding,p95,14,3
boarding,p95,15,3
boarding,p95,16,3
boarding,p95,17,3
boarding,p95,18,3
boarding,p95,19,3
boarding,p95,20,4
boarding,p95,21,4
boarding,p95,22,4
boarding,p95,23,4
boarding,stdev,0,1.297452
boarding,stdev,1,1.297449
boarding,stdev,2,1.301849
boarding,stdev,3,1.303982
boarding,stdev,4,1.312667
boarding,stdev,5,1.314748
boarding,stdev,6,1.312442
boarding,stdev,7,1.307195
boarding,stdev,8,1.315533
boarding,stdev,9,1.329907
boarding,stdev,10,1.299545
boarding,stdev,11,1.235523
boarding,stdev,12,1.187674
boarding,stdev,13,1.134164
boarding,stdev,14,1.126138
boarding,stdev,15,1.130173
boarding,stdev,16,1.128375
boarding,stdev,17,1.121501
boarding,stdev,18,1.117655
boarding,stdev,19,1.202072
boarding,stdev,20,1.248285
boarding,stdev,21,1.260324
boarding,stdev,22,1.258891
boarding,stdev,23,1.265833
arrivals,mean,0,2.494286
arrivals,mean,1,1.94
arrivals,mean,2,1.66
arrivals,mean,3,1.348571
arrivals,mean,4,1.117143
arrivals,mean,5,1.137143
arrivals,mean,6,1.422857
arrivals,mean,7,2.162857
arrivals,mean,8,3.637143
arrivals,mean,9,5.457143
arrivals,mean,10,5.394286
arrivals,mean,11,5.734286
arrivals,mean,12,5.948571
arrivals,mean,13,5.337143
arrivals,mean,14,5.1
arrivals,mean,15,5.745714
arrivals,mean,16,6.097143
arrivals,mean,17,6.497143
arrivals,mean,18,6.405714
arrivals,mean,19,6.411429
arrivals,mean,20,5.677143
arrivals,mean,21,5.094286
arrivals,mean,22,4.091429
arrivals,mean,23,3.142857
arrivals,median,0,2
arrivals,median,1,2
arrivals,median,2,1
arrivals,median,3,1
arrivals,median,4,1
arrivals,median,5,1
arrivals,median,6,1
arrivals,median,7,2
arrivals,median,8,3
arrivals,median,9,5
arrivals,median,10,5
arrivals,median,11,6
arrivals,median,12,6
arrivals,median,13,5
arrivals,median,14,5
arrivals,median,15,6
arrivals,median,16,6
arrivals,median,17,6
arrivals,median,18,6
arrivals,median,19,6
arrivals,median,20,6
arrivals,median,21,5
arrivals,median,22,4
arrivals,median,23,3
arrivals,p25,0,1
arrivals,p25,1,1
arrivals,p25,2,1
arrivals,p25,3,0
arrivals,p25,4,0
arrivals,p25,5,0
arrivals,p25,6,0
arrivals,p25,7,1
arrivals,p25,8,2
arrivals,p25,9,3
arrivals,p25,10,3
arrivals,p25,11,4
arrivals,p25,12,4
arrivals,p25,13,3
arrivals,p25,14,3
arrivals,p25,15,4
arrivals,p25,16,4
arrivals,p25,17,5
arrivals,p25,18,4
arrivals,p25,19,4
arrivals,p25,20,4
arrivals,p25,21,3
arrivals,p25,22,3
arrivals,p25,23,2
arrivals,p75,0,4
arrivals,p75,1,3
arrivals,p75,2,2
arrivals,p75,3,2
arrivals,p75,4,2
arrivals,p75,5,2
arrivals,p75,6,2
arrivals,p75,7,3
arrivals,p75,8,5
arrivals,p75,9,7
arrivals,p75,10,7
arrivals,p75,11,8
arrivals,p75,12,7
arrivals,p75,13,7
arrivals,p75,14,6
arrivals,p75,15,7
arrivals,p75,16,8
arrivals,p75,17,8
arrivals,p75,18,8
arrivals,p75,19,8
arrivals,p75,20,7
arrivals,p75,21,7
arrivals,p75,22,5
arrivals,p75,23,4
arrivals,p95,0,5.55
arrivals,p95,1,5
arrivals,p95,2,4
arrivals,p95,3,3.55
