category,metric,hour,value
wr,stdev,6,1.369601
wr,stdev,7,1.583244
wr,stdev,8,2.312873
wr,stdev,9,3.251639
wr,stdev,10,3.492467
wr,stdev,11,3.631417
wr,stdev,12,3.520744
wr,stdev,13,3.370676
wr,stdev,14,3.507864
wr,stdev,15,3.496733
wr,stdev,16,3.697544
wr,stdev,17,4.035531
wr,stdev,18,4.212234
wr,stdev,19,4.366753
wr,stdev,20,4.394582
wr,stdev,21,4.118392
wr,stdev,22,4.001299
wr,stdev,23,3.644479
boarding,mean,0,1.275956
boarding,mean,1,1.29235
boarding,mean,2,1.306011
boarding,mean,3,1.314208
boarding,mean,4,1.314208
boarding,mean,5,1.325137
boarding,mean,6,1.330601
boarding,mean,7,1.344262
boarding,mean,8,1.355191
boarding,mean,9,1.333333
boarding,mean,10,1.275956
boarding,mean,11,1.136612
boarding,mean,12,1.10929
boarding,mean,13,1.062842
boarding,mean,14,1.040984
boarding,mean,15,1.02459
boarding,mean,16,1.002732
boarding,mean,17,0.997268
boarding,mean,18,0.997268
boarding,mean,19,1.051913
boarding,mean,20,1.087432
boarding,mean,21,1.147541
boarding,mean,22,1.221311
boarding,mean,23,1.256831
boarding,median,0,1
boarding,median,1,1
boarding,median,2,1
boarding,median,3,1
boarding,median,4,1
boarding,median,5,1
boarding,median,6,1
boarding,median,7,1
boarding,median,8,1
boarding,median,9,1
boarding,median,10,1
boarding,median,11,1
boarding,median,12,1
boarding,median,13,1
boarding,median,14,1
boarding,median,15,1
boarding,median,16,1
boarding,median,17,1
boarding,median,18,1
boarding,median,19,1
boarding,median,20,1
boarding,median,21,1
boarding,median,22,1
boarding,median,23,1
boarding,p25,0,0
boarding,p25,1,0
boarding,p25,2,0
boarding,p25,3,0
boarding,p25,4,0
boarding,p25,5,0
boarding,p25,6,0
boarding,p25,7,0
boarding,p25,8,0
boarding,p25,9,0
boarding,p25,10,0
boarding,p25,11,0
boarding,p25,12,0
boarding,p25,13,0
boarding,p25,14,0
boarding,p25,15,0
boarding,p25,16,0
boarding,p25,17,0
boarding,p25,18,0
boarding,p25,19,0
boarding,p25,20,0
boarding,p25,21,0
boarding,p25,22,0
boarding,p25,23,0
boarding,p75,0,2
boarding,p75,1,2
boarding,p75,2,2
boarding,p75,3,2
boarding,p75,4,2
boarding,p75,5,2
boarding,p75,6,2
boarding,p75,7,2
boarding,p75,8,2
boarding,p75,9,2
boarding,p75,10,2
boarding,p75,11,2
boarding,p75,12,2
boarding,p75,13,2
boarding,p75,14,2
boarding,p75,15,2
boarding,p75,16,2
boarding,p75,17,2
boarding,p75,18,2
boarding,p75,19,2
boarding,p75,20,2
boarding,p75,21,2
boarding,p75,22,2
boarding,p75,23,2
boarding,p95,0,3.75
boarding,p95,1,4
boarding,p95,2,3.75
boarding,p95,3,4
boarding,p95,4,4
boarding,p95,5,4
boarding,p95,6,4
boarding,p95,7,4
boarding,p95,8,4
boarding,p95,9,4
boarding,p95,10,4
boarding,p95,11,3
boarding,p95,12,3
boarding,p95,13,3
boarding,p95,14,3
boarding,p95,15,3
boarding,p95,16,3
boarding,p95,17,3
boarding,p95,18,3
boarding,p95,19,3
boarding,p95,20,3
boarding,p95,21,3
boarding,p95,22,3
boarding,p95,23,3
boarding,stdev,0,1.215345
boarding,stdev,1,1.222751
boarding,stdev,2,1.220517
boarding,stdev,3,1.221795
boarding,stdev,4,1.221795
boarding,stdev,5,1.218925
boarding,stdev,6,1.226418
boarding,stdev,7,1.221523
boarding,stdev,8,1.229573
boarding,stdev,9,1.21332
boarding,stdev,10,1.215345
